name,address,Crypto API,Crypto Task,Scheme,balance,compiler,txcount2
AToken,0xeDa678212EB1E9694fC1455b2426c7aF30f69Bd5,sha3;ecrecover;,Signature,ecdsa+sha3,0 Ether,0.6.12,1
Gel,0x15b7c0c907e4c6b9adaaaabc300c08991d6cea05,sha3;ecrecover;,Signature,ecdsa+sha3,0 Ether,0.5.16,1
SavageDroids,0xa6794DEc66Df7d8B69752956df1b28cA93f77CD7,sha3;ecrecover;,Signature,ecdsa+sha3,0 Ether,0.8.0,3
AccessControlledOffchainAggregator,0x0659685E21B88A97969045bd3A02b33731E5A119,sha3;ecrecover;,Signature,ecdsa+sha3,0 Ether,0.7.6,4
AccessControlledOffchainAggregator,0xAA7593d1aB764FeE8f92eB047aB9b36A6C0C6A2C,sha3;ecrecover;,Signature,ecdsa+sha3,0 Ether,0.7.6,4
L1_ERC20_Bridge,0x3d4Cc8A61c7528Fd86C55cfe061a78dCBA48EDd1,sha3;,Commitment(Vector),sha3,0 Ether,0.6.12,8
Forex,0xDb298285FE4C5410B05390cA80e8Fbe9DE1F259B,sha3;,Message Digest,sha3,0 Ether,0.8.0,7
RouterFacet,0x0468531e2B17f03639DC5daC5Eb9c534e576565c,ecrecover;,Signature,ecdsa+sha3,0 Ether,0.7.6,1
Surreals,0xa406489360a47af2c74fc1004316a64e469646a5,sha3;ecrecover;,Signature,ecdsa+sha3,14.28 Ether,0.8.7,93
WeightedPool,0x702605f43471183158938c1a3e5f5a359d7b31ba,sha3;ecrecover;,Signature,ecdsa+sha3,0 Ether,0.7.1,0
Governor,0x72426BA137DEC62657306b12B1E869d43FeC6eC7,sha3;,Solidity(Selector),sha3,0 Ether,0.8.7,3
Governor,0x72426BA137DEC62657306b12B1E869d43FeC6eC7,sha3;,Message Digest,sha3,0 Ether,0.8.7,3
MekaVerse,0x9A534628B4062E123cE7Ee2222ec20B86e16Ca8F,sha3;ecrecover;,Signature,ecdsa+sha3,0 Ether,0.8.9,9995
EtherOrcs,0x7d9d3659dcfbea08a87777c52020bc672deece13,sha3;,Random Number Generator,sha3,0 Ether,0.8.7,4503
CityParkUtils,0x51Fa888bB179b6b715CC9C5d62adbe543244822A,sha3;,Random Number Generator,sha3,0 Ether,0.8.7,1
MerkleOrchard,0xdAE7e32ADc5d490a43cCba1f0c736033F2b4eFca,sha3;,Commitment(Vector),sha3,0 Ether,0.7.1,3
BohemianBulldogs,0xCf5997c7A314ae624C6F2F4A6DdC373efd23b276,sha3;,Other(VRF),sha3,0.0035 Ether,0.8.9,8
Bearseum,0x09f643dd754fc4effd1d2ddcf0143b54122f5aeb,sha3;,Commitment(Vector),sha3,0 Ether,0.8.0,2
Bearseum,0x09f643dd754fc4effd1d2ddcf0143b54122f5aeb,sha3;,Random Number Generator,sha3,0 Ether,0.8.0,2
GenArt721Minter_DoodleLabs,0x4f598212d55415D83A7024Ddb48d9FcA1AFe4edf,sha3;,Message Digest,sha3,0 Ether,0.5.0,4
Etholvants,0x1fff1e9e963f07ac4486503e5a35e71f4e9fb9fd,sha3;,Random Number Generator,sha3,0 Ether,0.8.9,10
Etholvants,0x1fff1e9e963f07ac4486503e5a35e71f4e9fb9fd,sha3;,Solidity(Selector),sha3,0 Ether,0.8.9,10
SignMessageLib,0xA65387F16B013cf2Af4605Ad8aA5ec25a2cbA3a2,sha3;ecrecover;,Signature,ecdsa+sha3,0 Ether,0.7.6,0
NilMerkleDistributor,0x3B78AB6da605436715C80137D5e26CeA728dd387,sha3;,Commitment(Vector),sha3,0 Ether,0.6.11,136
UniswapV2Pair,0x18a797c7c70c1bf22fdee1c09062aba709cacf04,sha3;ecrecover;,Signature,ecdsa+sha3,0 Ether,0.6.12,835
UniswapV3Pool,0x9db9e0e53058c89e5b94e29621a205198648425b,sha3;,Message Digest,sha3,0 Ether,0.7.6,0
SVSx888,0xbb7a981f5f14b82ac3d3866304c8996d1d82be46,sha3;ecrecover;,Signature,ecdsa+sha3,0 Ether,0.8.4,999
StrongNFTBonusV7,0xd951bfc09a7ec90ee6331564a0d62c8cb8a86fe9,sha3;,Message Digest,sha3,0 Ether,0.6.12,1
BlockBots,0x945520A9f9F9A6A7679CEEc5ED28EE19d2Ac18B9,sha2-256;,Message Digest,sha3,0 Ether,0.8.0,1505
PopsicleV3Optimizer,0x5c08a6762caf9ec8a42f249ebc23aae66097218d,sha3;ecrecover;,Signature,ecdsa+sha3,0 Ether,0.7.6,3
